FID,FACILITYID,FACLAT,FATLONG,FATNAME,ExI,noisef,Soundlvl,remoteness,lux,Lightness,Miles,,,
12924,245924,38.4250107,-108.381431,Columbine Campground - Ouray RD,2.27175,0.07,2,3,10,0,24.7999992,,,
9812,242362,39.973724,-122.929974,Green Springs Campground,0.7287,0.02,0,3,12,0,24.7800007,,,
16435,250066,43.32474,-122.7998,Bogus Raft Launch Boating Site,1.71859,0.05,1,3,6,0,24.7800007,,,
11016,243727,43.896935,-119.643,Tip Top Campground,0.6023,0.02,0,3,10,0,24.7600002,,,
16449,250080,43.324534,-122.800443,Bogus Creek Campground,1.71859,0.05,1,3,6,0,24.75,,,
639,232029,40.80055556,-110.8241667,CHRISTMAS MEADOWS CAMPGROUND,0.56962,0.02,0,3,9,0,24.7399998,,,
7473,239834,45.581367,-104.055634,Sioux RD,0.73448,0.02,0,3,18,0,24.7299995,,,
9811,242361,40.014497,-123.06329,Georges Valley Trailhead,0.26124,0.01,0,3,14,0,24.6700001,,,
8304,240751,46.83172428,-115.1791144,Hidden Creek Campground,1.41359,0.04,1,3,8,0,24.6499996,,,
1534,232932,55.24805556,-132.5536111,JOSEPHINE LAKE CABIN,0,0,0,3,6,0,24.6200008,,,
5985,238066,44.74722,-115.55554,Trout Creek Campground,2.31718,0.07,2,3,8,0,24.6100006,,,
1773,233171,55.36638889,-132.7258333,TWELVEMILE CABIN,0,0,0,3,6,0,24.5799999,,,
4778,236585,40.545619,-110.334044,Bridge Campground,2.293,0.07,2,3,15,0,24.5799999,,,
12851,245842,38.155525,-106.883396,McDonough Reservoir Day Use Area/Fishing Site,2.43145,0.08,2,3,11,0,24.5799999,,,
4531,236205,57.938,-135.61,Road 85784,0,0,0,3,8,0,24.5699997,,,
2314,233719,40.56055556,-110.6997222,UPPER STILLWATER,0.87525,0.03,1,3,12,0,24.5300007,,,
1037,232427,48.06777778,-90.61472222,IRON LAKE,1.60509,0.05,1,3,8,0,24.4699993,,,
4845,236663,40.559081,-110.694947,Upper Stillwater Boat Ramp Boating Site,1.33731,0.04,1,3,8,0,24.4599991,,,
